,Country,co2,debt,PM2.5,secondary_school,high_school,total_tax
36,Channel Islands,4.591075697211152,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
37,Chile,4.82,4.5065413533834615,3.83,6.63,0.5600000000000005,3.09
38,China,6.56,8.82,9.7,6.97,6.470000000000001,4.664977578475337
39,Cote d'Ivoire,2.32,4.0,3.29,5.135820105820105,5.158258426966292,5.08
40,Cameroon,2.25,3.97,9.66,1.48,8.27,5.63
41,"Congo, Dem. Rep.",2.13,3.98,7.63,0.76,8.73,10.0
42,"Congo, Rep.",2.43,3.97,7.7,1.4,8.59,7.41
43,Colombia,3.0,4.35,2.9,7.89,3.7199999999999998,8.62
44,Comoros,2.21,3.95,3.04,5.135820105820105,8.7,10.0
45,Cabo Verde,2.6,3.96,5.58,6.35,7.46,4.19
46,Costa Rica,2.98,4.02,2.68,8.69,3.2800000000000002,6.78
47,Caribbean small states,7.38,4.5065413533834615,3.22,6.27,7.24,4.37
48,Cuba,3.87,4.5065413533834615,3.45,6.72,1.5999999999999996,4.664977578475337
49,Curacao,10.0,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
50,Cayman Islands,7.6,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
51,Cyprus,5.74,4.5065413533834615,2.66,7.33,3.7699999999999996,2.45
52,Czech Republic,7.75,4.5065413533834615,2.57,7.52,1.4000000000000004,5.24
53,Germany,7.54,4.5065413533834615,1.73,8.15,5.158258426966292,5.27
54,Djibouti,2.4,3.96,7.06,0.63,5.158258426966292,4.3
55,Dominica,3.1,3.95,3.24,5.135820105820105,5.158258426966292,4.18
56,Denmark,6.0,4.5065413533834615,1.39,9.58,0.5500000000000007,2.94
57,Dominican Republic,3.27,4.06,2.12,4.76,3.37,4.96
58,Algeria,4.05,3.98,5.68,5.135820105820105,5.86,8.14
59,East Asia & Pacific (excluding high income),5.53,9.72,8.85,5.85,6.43,3.68
60,Early-demographic dividend,3.34,4.5065413533834615,9.54,3.38,6.75,4.41
61,East Asia & Pacific,5.87,4.5065413533834615,8.41,6.12,5.94,3.76
62,Europe & Central Asia (excluding high income),6.89,9.54,3.93,6.89,2.0,4.35
63,Europe & Central Asia,6.59,4.5065413533834615,2.71,7.72,1.6300000000000008,4.57
64,Ecuador,3.44,4.03,2.72,8.06,4.68,3.86
65,"Egypt, Arab Rep.",3.44,4.15,9.92,5.2,6.63,4.86
66,Euro area,6.3,4.5065413533834615,1.81,8.75,1.2100000000000009,5.02
67,Eritrea,4.591075697211152,3.96,8.13,0.57,5.158258426966292,8.98
68,Spain,5.46,4.5065413533834615,1.4,9.78,0.33000000000000007,4.24
69,Estonia,9.12,4.5065413533834615,1.02,8.67,0.9100000000000001,7.64
70,Ethiopia,2.16,4.0,6.24,0.49,8.74,3.71
71,European Union,6.25,4.5065413533834615,1.92,8.35,1.3399999999999999,4.78
72,Fragile and conflict affected situations,2.53,4.5065413533834615,7.51,0.86,8.45,7.16
73,Finland,7.48,4.5065413533834615,0.91,8.72,0.16000000000000014,4.61
74,Fiji,2.73,3.96,1.62,6.42,5.158258426966292,4.24
75,France,5.08,4.5065413533834615,1.76,8.5,2.1799999999999997,7.91
76,Faroe Islands,8.78,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
77,"Micronesia, Fed. Sts.",2.78,4.5065413533834615,1.64,5.135820105820105,5.158258426966292,6.93
78,Gabon,3.7,3.97,7.22,5.135820105820105,5.158258426966292,5.08
79,United Kingdom,6.52,4.5065413533834615,1.48,6.88,1.9700000000000006,3.93
80,Georgia,3.32,4.01,3.82,5.135820105820105,6.23,1.98
81,Ghana,2.34,4.02,4.68,1.86,8.39,3.67
82,Gibraltar,9.23,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
83,Guinea,2.22,3.96,3.39,0.54,8.57,8.9
84,"Gambia, The",2.23,3.96,5.09,5.135820105820105,9.1,10.0
85,Guinea-Bissau,2.19,3.95,4.27,5.135820105820105,5.158258426966292,5.27
86,Equatorial Guinea,4.98,4.5065413533834615,7.99,5.135820105820105,5.158258426966292,5.42
87,Greece,6.45,4.5065413533834615,2.51,7.99,0.02999999999999936,5.05
88,Grenada,3.5,3.96,4.14,0.01,5.158258426966292,5.19
89,Greenland,7.94,4.5065413533834615,1.7,5.135820105820105,5.158258426966292,4.664977578475337
90,Guatemala,2.5,4.03,4.9,1.49,5.158258426966292,4.65
91,Guam,4.591075697211152,4.5065413533834615,1.68,5.135820105820105,5.158258426966292,4.664977578475337
92,Guyana,3.55,3.96,4.23,7.76,8.45,4.04
93,High income,8.31,4.5065413533834615,2.11,8.18,0.7200000000000006,4.27
94,"Hong Kong SAR, China",5.72,4.5065413533834615,4.702708333333332,8.55,1.9100000000000001,2.59
95,Honduras,2.64,3.98,4.35,3.14,7.65,4.48
96,Heavily indebted poor countries (HIPC),2.23,4.5065413533834615,6.76,0.53,8.76,7.5
97,Croatia,4.53,4.5065413533834615,2.84,7.8,1.9100000000000001,2.41
98,Haiti,2.22,3.96,2.34,5.135820105820105,5.158258426966292,4.59
99,Hungary,4.71,4.5065413533834615,2.35,7.68,1.8000000000000007,5.74
100,IBRD only,4.72,4.5065413533834615,9.19,5.19,5.78,4.68
101,IDA & IBRD total,4.11,4.5065413533834615,9.03,3.54,6.63,5.34
102,IDA total,2.37,4.5065413533834615,8.36,0.88,8.59,5.92
103,IDA blend,2.58,4.5065413533834615,8.94,1.09,8.59,4.81
104,Indonesia,3.49,5.22,2.46,5.06,6.38,4.664977578475337
105,IDA only,2.27,5.12,8.02,0.78,8.59,6.19
106,Isle of Man,4.591075697211152,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
107,India,2.94,5.93,9.99,3.41,6.98,4.664977578475337
108,Not classified,4.591075697211152,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
109,Ireland,6.74,4.5065413533834615,1.2,9.34,1.1999999999999993,2.86
110,"Iran, Islamic Rep.",6.89,3.99,6.78,6.19,2.5700000000000003,5.05
111,Iraq,4.81,4.5065413533834615,9.8,5.135820105820105,5.158258426966292,3.33
112,Iceland,5.43,4.5065413533834615,0.98,8.86,0.4399999999999995,3.47
113,Israel,7.72,4.5065413533834615,3.4,8.02,1.2300000000000004,2.86
114,Italy,5.81,4.5065413533834615,2.45,8.08,1.4600000000000009,7.71
115,Jamaica,3.53,4.02,2.01,5.135820105820105,6.37,5.36
116,Jordan,3.8,4.04,5.6,4.24,4.29,3.19
117,Japan,7.76,4.5065413533834615,1.66,5.135820105820105,5.158258426966292,4.664977578475337
118,Kazakhstan,9.38,4.63,1.86,8.05,3.05,3.23
119,Kenya,2.25,4.01,4.78,5.135820105820105,5.158258426966292,5.0
120,Kyrgyz Republic,3.05,3.98,3.92,6.4,4.06,3.74
121,Cambodia,2.29,3.98,5.21,5.135820105820105,5.158258426966292,2.55
122,Kiribati,2.4,4.5065413533834615,1.59,5.135820105820105,5.158258426966292,3.55
123,St. Kitts and Nevis,4.51,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,6.0
124,"Korea, Rep.",8.6,4.5065413533834615,4.46,7.68,0.10999999999999943,3.81
125,Kuwait,10.0,4.5065413533834615,9.71,7.41,5.158258426966292,1.64
126,Latin America & Caribbean (excluding high income),3.61,8.97,2.96,6.31,4.55,5.19
127,Lao PDR,2.24,3.99,4.99,1.14,7.83,3.5
128,Lebanon,4.78,4.23,4.95,3.7,3.8099999999999996,3.41
129,Liberia,2.23,3.95,2.14,5.135820105820105,8.44,2.83
130,Libya,7.17,4.5065413533834615,7.94,5.135820105820105,5.158258426966292,3.64
131,St. Lucia,3.36,3.95,4.11,6.66,8.57,3.88
132,Latin America & Caribbean,3.78,4.5065413533834615,2.89,6.46,3.9800000000000004,5.26
133,Least developed countries: UN classification,2.25,4.5065413533834615,8.2,0.64,8.68,6.52
134,Low income,2.27,4.47,7.35,0.65,8.71,7.74
135,Liechtenstein,2.78,4.5065413533834615,4.702708333333332,8.88,4.28,4.664977578475337
136,Sri Lanka,2.5,4.13,4.94,7.86,7.88,6.41
137,Lower middle income,2.89,9.32,9.68,2.74,7.32,4.52
138,Low & middle income,4.08,10.0,9.08,3.5,6.73,5.32
139,Lesotho,2.69,3.96,5.2,1.53,8.5,1.76
140,Late-demographic dividend,6.12,4.5065413533834615,8.42,6.65,5.43,3.95
141,Lithuania,4.79,4.5065413533834615,1.76,8.54,0.5199999999999996,4.91
142,Luxembourg,9.93,4.5065413533834615,1.48,7.93,7.62,2.3
143,Latvia,4.05,4.5065413533834615,2.03,8.55,1.3200000000000003,4.02
144,"Macao SAR, China",3.36,4.5065413533834615,4.702708333333332,6.87,2.96,4.664977578475337
145,St. Martin (French part),4.591075697211152,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
146,Morocco,3.1,4.12,4.43,3.49,7.62,5.74
147,Monaco,4.591075697211152,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
148,Moldova,2.82,3.98,2.51,6.34,4.64,3.43
149,Madagascar,2.17,3.97,3.34,0.51,9.04,4.51
150,Maldives,3.69,3.96,1.4,5.135820105820105,5.158258426966292,2.89
151,Middle East & North Africa,5.74,4.5065413533834615,8.79,5.07,5.59,3.6
152,Mexico,4.46,5.71,4.03,6.05,6.4,4.664977578475337
153,Marshall Islands,3.14,4.5065413533834615,1.52,5.135820105820105,4.22,7.44
154,Middle income,4.32,10.0,9.21,4.18,6.41,4.37
155,North Macedonia,4.6,3.98,5.96,5.45,4.81,1.29
156,Mali,2.14,3.97,5.97,5.135820105820105,8.83,5.91
157,Malta,5.92,4.5065413533834615,2.0,7.14,4.26,4.71
158,Myanmar,2.22,4.01,7.54,5.135820105820105,8.23,4.48
159,Middle East & North Africa (excluding high income),4.34,4.95,8.53,4.61,5.77,4.55
160,Montenegro,4.24,3.97,3.75,7.05,5.158258426966292,2.47
161,Mongolia,7.6,4.03,7.56,5.135820105820105,2.09,2.79
162,Northern Mariana Islands,4.591075697211152,4.5065413533834615,1.44,5.135820105820105,5.158258426966292,4.664977578475337
163,Mozambique,2.17,3.98,3.37,0.15,8.97,4.17
164,Mauritania,2.45,3.97,7.5,0.18,8.97,6.86
165,Mauritius,3.86,4.0,1.98,7.02,4.83,3.0
166,Malawi,2.15,3.96,3.98,0.34,5.158258426966292,3.62
167,Malaysia,6.6,4.5065413533834615,2.65,5.15,5.23,3.88
168,North America,9.65,4.5065413533834615,1.14,7.61,0.21000000000000085,2.31
169,Namibia,2.88,4.5065413533834615,4.21,5.135820105820105,5.158258426966292,2.47
170,New Caledonia,9.29,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
171,Niger,2.16,3.96,9.91,0.06,9.19,5.07
172,Nigeria,2.4,4.04,9.27,1.01,5.158258426966292,4.664977578475337
173,Nicaragua,2.5,4.0,3.26,5.135820105820105,5.158258426966292,7.2
174,Netherlands,8.01,4.5065413533834615,1.76,9.75,0.6699999999999999,4.44
175,Norway,7.91,4.5065413533834615,1.03,8.9,0.8300000000000001,4.62
176,Nepal,2.22,3.97,10.0,2.8,5.158258426966292,3.52
177,Nauru,4.34,4.5065413533834615,4.702708333333332,4.96,5.158258426966292,4.664977578475337
178,New Zealand,6.75,4.5065413533834615,0.93,9.31,5.158258426966292,3.81
179,OECD members,7.82,4.5065413533834615,2.13,7.76,0.9900000000000002,4.65
180,Oman,9.75,4.5065413533834615,7.21,7.92,5.158258426966292,2.49
181,Other small states,6.31,4.5065413533834615,5.65,2.87,7.76,5.45
182,Pakistan,2.57,4.26,9.64,0.51,8.6,4.664977578475337
183,Panama,3.57,4.5065413533834615,1.78,0.01,4.06,4.6
184,Peru,3.07,4.26,5.03,7.08,5.158258426966292,4.22
185,Philippines,2.58,4.3,3.3,5.135820105820105,6.0,5.1
186,Palau,8.79,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,8.37
187,Papua New Guinea,2.45,4.03,1.88,0.58,5.158258426966292,4.8
188,Poland,6.82,4.5065413533834615,3.66,7.43,0.8100000000000005,4.57
189,Pre-demographic dividend,2.37,4.5065413533834615,7.79,0.58,8.77,7.51
190,Puerto Rico,4.591075697211152,4.5065413533834615,1.26,4.99,0.3000000000000007,5.82
191,"Korea, Dem. People’s Rep.",3.15,4.5065413533834615,6.34,5.135820105820105,5.158258426966292,4.664977578475337
192,Portugal,4.63,4.5065413533834615,1.2,8.71,1.1999999999999993,4.77
193,Paraguay,2.52,4.03,1.78,4.54,5.158258426966292,3.93
194,West Bank and Gaza,2.38,4.5065413533834615,5.54,5.57,3.4299999999999997,1.98
195,Pacific island small states,2.61,4.5065413533834615,1.65,4.12,5.158258426966292,4.33
196,Post-demographic dividend,8.2,4.5065413533834615,1.69,8.18,0.5899999999999999,4.49
197,French Polynesia,3.76,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
198,Qatar,10.0,4.5065413533834615,10.0,5.85,8.49,1.56
199,Romania,4.44,4.55,2.15,7.45,3.08,4.95
200,Russian Federation,8.98,6.87,2.49,7.44,0.6899999999999995,4.664977578475337
201,Rwanda,2.15,3.96,7.88,0.54,8.86,3.87
202,South Asia,2.81,6.58,9.98,2.7,7.41,4.19
203,Saudi Arabia,9.9,4.5065413533834615,9.99,5.135820105820105,3.6799999999999997,1.83
204,Sudan,2.26,4.06,8.62,0.66,8.03,4.06
205,Senegal,2.4,3.98,6.29,0.85,8.61,5.22
206,Singapore,6.21,4.5065413533834615,2.97,5.135820105820105,5.158258426966292,2.15
207,Solomon Islands,2.29,3.95,1.7,1.09,5.158258426966292,2.83
208,Sierra Leone,2.19,3.96,2.82,0.78,5.158258426966292,3.62
209,El Salvador,2.65,4.02,5.13,4.09,6.46,3.9
210,San Marino,4.591075697211152,4.5065413533834615,4.702708333333332,7.25,1.9700000000000006,4.55
211,Somalia,2.14,3.97,5.28,5.135820105820105,5.158258426966292,4.664977578475337
212,Serbia,5.75,4.12,4.61,7.18,2.7199999999999998,3.48
213,Sub-Saharan Africa (excluding high income),2.52,5.73,7.02,0.68,8.71,6.76
214,South Sudan,2.17,4.5065413533834615,7.79,5.135820105820105,5.158258426966292,2.95
215,Sub-Saharan Africa,2.52,4.5065413533834615,7.02,0.68,8.71,6.67
216,Small states,6.3,4.5065413533834615,4.9,3.5,7.73,4.95
217,Sao Tome and Principe,2.42,3.95,4.02,1.92,8.75,4.29
218,Suriname,4.52,4.5065413533834615,4.73,3.91,5.158258426966292,3.11
219,Slovak Republic,5.71,4.5065413533834615,2.76,6.97,2.3899999999999997,5.68
220,Slovenia,6.41,4.5065413533834615,2.38,7.67,0.28999999999999915,3.68
221,Sweden,5.0,4.5065413533834615,0.91,7.69,1.1500000000000004,6.03
222,Eswatini,2.6,3.95,2.47,2.3,5.158258426966292,4.14
223,Sint Maarten (Dutch part),9.93,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
224,Seychelles,5.02,4.5065413533834615,3.09,5.9,9.21,2.64
225,Syrian Arab Republic,3.28,3.98,7.26,4.46,5.93,4.52
226,Turks and Caicos Islands,5.74,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
227,Chad,2.14,3.96,9.45,0.12,5.158258426966292,8.4
228,East Asia & Pacific (IDA & IBRD countries),5.56,4.5065413533834615,8.87,5.84,6.43,3.94
229,Europe & Central Asia (IDA & IBRD countries),6.87,4.5065413533834615,3.9,6.94,1.8800000000000008,4.26
230,Togo,2.29,3.96,5.23,5.135820105820105,8.56,5.64
231,Thailand,4.63,4.62,5.27,5.66,3.09,4.06
232,Tajikistan,2.29,3.98,8.53,6.04,7.21,8.98
233,Turkmenistan,8.83,3.95,3.56,5.135820105820105,5.158258426966292,4.664977578475337
234,Latin America & the Caribbean (IDA & IBRD countries),3.76,4.5065413533834615,2.89,6.46,4.05,5.3
235,Timor-Leste,2.24,3.95,3.29,2.34,5.158258426966292,1.55
236,Middle East & North Africa (IDA & IBRD countries),4.37,4.5065413533834615,8.55,4.59,5.8,4.79
237,Tonga,2.62,3.95,1.57,6.71,5.158258426966292,2.65
238,South Asia (IDA & IBRD),2.81,4.5065413533834615,9.98,2.7,7.41,4.19
239,Sub-Saharan Africa (IDA & IBRD countries),2.52,4.5065413533834615,7.02,0.68,8.71,6.67
240,Trinidad and Tobago,10.0,4.5065413533834615,4.46,5.135820105820105,5.158258426966292,3.46
241,Tunisia,3.45,4.08,5.55,5.135820105820105,5.4,7.24
242,Turkey,4.66,5.66,7.43,5.89,1.08,4.56
243,Tuvalu,2.63,4.5065413533834615,4.702708333333332,5.135820105820105,5.158258426966292,4.664977578475337
244,Tanzania,2.21,4.01,4.92,5.135820105820105,9.05,5.15
245,Uganda,2.17,3.97,8.61,5.135820105820105,9.06,3.75
246,Ukraine,5.98,4.62,3.26,7.51,0.4399999999999995,6.42
247,Upper middle income,6.03,10.0,8.2,6.67,5.18,4.23
248,Uruguay,3.49,4.5065413533834615,1.33,5.135820105820105,5.158258426966292,4.77
249,United States,9.67,4.5065413533834615,1.15,7.45,5.158258426966292,4.664977578475337
250,Uzbekistan,4.32,4.0,5.3,6.86,8.75,9.57
251,St. Vincent and the Grenadines,3.35,3.95,3.98,8.02,5.158258426966292,4.38
252,"Venezuela, RB",6.08,4.6,3.04,5.74,5.158258426966292,7.1
253,British Virgin Islands,5.79,4.5065413533834615,4.702708333333332,7.62,5.158258426966292,4.664977578475337
254,Virgin Islands (U.S.),4.591075697211152,4.5065413533834615,1.54,5.135820105820105,5.158258426966292,4.664977578475337
255,Vietnam,2.92,4.26,6.51,5.135820105820105,6.9,3.96
256,Vanuatu,2.34,3.95,1.68,5.135820105820105,5.158258426966292,1.35
257,World,5.03,4.5065413533834615,8.33,4.09,5.81,4.98
258,Samoa,2.64,3.95,1.73,5.96,5.158258426966292,2.15
259,Kosovo,4.591075697211152,3.96,4.702708333333332,5.135820105820105,5.158258426966292,1.9
260,"Yemen, Rep.",2.48,3.99,8.83,0.95,5.158258426966292,3.76
261,South Africa,7.36,4.68,4.16,7.28,7.6,3.57
262,Zambia,2.23,3.98,4.87,5.135820105820105,9.04,1.95
263,Zimbabwe,2.37,4.0,3.44,0.96,8.91,3.74
