,Country,co2,debt,PM2.5,secondary_school,high_school,total_tax
36,Channel Islands,4.586454183266931,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
37,Chile,4.93,4.5037593984962445,3.7,7.4,0.47000000000000064,2.77
38,China,6.78,9.16,9.78,6.85,6.3,8.64
39,Cote d'Ivoire,2.27,4.0,3.16,5.136153846153848,8.879999999999999,6.66
40,Cameroon,2.18,3.98,9.46,1.44,8.26,6.09
41,"Congo, Dem. Rep.",2.05,3.98,7.97,0.64,8.99,7.12
42,"Congo, Rep.",2.36,3.97,8.22,5.136153846153848,8.82,7.14
43,Colombia,3.06,4.36,2.75,7.54,3.49,9.35
44,Comoros,2.14,3.96,3.11,1.93,8.86,10.0
45,Cabo Verde,2.52,3.96,5.52,6.04,7.46,4.09
46,Costa Rica,2.89,4.03,2.59,8.92,3.5,7.46
47,Caribbean small states,7.68,4.5037593984962445,3.19,5.53,7.58,4.41
48,Cuba,3.78,4.5037593984962445,3.47,6.47,3.67,4.708760683760684
49,Curacao,10.0,4.5037593984962445,4.7044999999999995,5.76,7.63,4.708760683760684
50,Cayman Islands,7.7,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
51,Cyprus,5.23,4.5037593984962445,2.65,7.28,3.8600000000000003,2.03
52,Czech Republic,7.8,4.5037593984962445,2.53,7.95,1.67,5.57
53,Germany,7.81,4.5037593984962445,1.74,7.67,2.1500000000000004,6.13
54,Djibouti,2.37,3.96,7.2,0.59,5.160818713450294,4.26
55,Dominica,3.02,3.96,3.33,5.136153846153848,5.160818713450294,4.17
56,Denmark,6.34,4.5037593984962445,1.42,9.64,0.5700000000000003,2.48
57,Dominican Republic,3.17,4.06,2.08,4.49,5.160818713450294,5.23
58,Algeria,4.08,3.98,5.99,5.136153846153848,5.94,8.93
59,East Asia & Pacific (excluding high income),5.63,9.8,9.0,5.67,6.390000000000001,3.73
60,Early-demographic dividend,3.25,4.5037593984962445,9.63,3.15,6.98,4.49
61,East Asia & Pacific,5.99,4.5037593984962445,8.59,5.92,5.9,3.86
62,Europe & Central Asia (excluding high income),6.88,9.49,3.95,7.08,2.0199999999999996,4.31
63,Europe & Central Asia,6.61,4.5037593984962445,2.73,7.97,1.7599999999999998,4.64
64,Ecuador,3.5,4.04,2.55,8.01,4.93,3.62
65,"Egypt, Arab Rep.",3.35,4.16,9.96,5.04,6.58,4.67
66,Euro area,6.33,4.5037593984962445,1.83,8.5,1.3499999999999996,5.3
67,Eritrea,4.586454183266931,3.96,8.43,0.45,9.39,9.57
68,Spain,5.15,4.5037593984962445,1.41,9.68,0.34999999999999964,7.29
69,Estonia,9.6,4.5037593984962445,1.04,8.37,0.9600000000000009,6.23
70,Ethiopia,2.08,4.01,6.35,5.136153846153848,5.160818713450294,3.85
71,European Union,6.27,4.5037593984962445,1.92,8.61,1.58,4.95
72,Fragile and conflict affected situations,2.48,4.5037593984962445,7.49,0.7,8.61,6.82
73,Finland,7.43,4.5037593984962445,0.92,9.91,0.25,4.64
74,Fiji,2.72,3.96,1.59,5.136153846153848,5.160818713450294,3.25
75,France,5.14,4.5037593984962445,1.8,8.0,2.2199999999999998,8.73
76,Faroe Islands,9.39,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
77,"Micronesia, Fed. Sts.",2.76,4.5037593984962445,1.68,5.136153846153848,5.160818713450294,7.7
78,Gabon,3.69,3.98,7.32,5.136153846153848,5.160818713450294,5.34
79,United Kingdom,6.52,4.5037593984962445,1.52,9.47,2.49,3.8
80,Georgia,3.19,4.01,3.7,7.05,5.67,1.45
81,Ghana,2.31,4.03,4.56,2.94,8.42,3.49
82,Gibraltar,9.51,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,0.41
83,Guinea,2.12,3.96,3.15,5.136153846153848,8.71,7.87
84,"Gambia, The",2.14,3.96,5.0,5.136153846153848,5.160818713450294,10.0
85,Guinea-Bissau,2.1,3.96,4.27,5.136153846153848,5.160818713450294,5.56
86,Equatorial Guinea,4.93,4.5037593984962445,7.83,5.136153846153848,5.160818713450294,5.82
87,Greece,6.0,4.5037593984962445,2.49,7.75,0.02999999999999936,5.31
88,Grenada,3.67,3.96,4.12,7.65,5.160818713450294,5.52
89,Greenland,8.01,4.5037593984962445,1.68,5.136153846153848,5.160818713450294,4.708760683760684
90,Guatemala,2.47,4.03,5.06,1.29,7.85,4.8
91,Guam,4.586454183266931,4.5037593984962445,1.68,5.136153846153848,5.160818713450294,4.708760683760684
92,Guyana,3.46,3.97,3.9,5.136153846153848,5.160818713450294,3.39
93,High income,8.44,4.5037593984962445,2.16,8.14,0.9100000000000001,4.38
94,"Hong Kong SAR, China",5.95,4.5037593984962445,4.7044999999999995,7.57,1.5,2.11
95,Honduras,2.57,3.99,4.53,2.49,7.83,5.08
96,Heavily indebted poor countries (HIPC),2.15,4.5037593984962445,6.62,0.5,8.89,7.3
97,Croatia,4.5,4.5037593984962445,2.82,7.44,1.6500000000000004,1.74
98,Haiti,2.14,3.96,2.31,5.136153846153848,5.160818713450294,4.7
99,Hungary,4.59,4.5037593984962445,2.39,8.03,2.5599999999999996,6.15
100,IBRD only,4.75,4.5037593984962445,9.35,4.98,5.91,4.98
101,IDA & IBRD total,4.1,4.5037593984962445,9.13,3.37,6.8100000000000005,5.31
102,IDA total,2.29,4.5037593984962445,8.14,0.85,8.74,5.62
103,IDA blend,2.51,4.5037593984962445,8.66,1.2,8.74,4.68
104,Indonesia,3.09,5.13,2.33,5.07,6.58,3.42
105,IDA only,2.19,5.11,7.84,0.71,8.74,5.88
106,Isle of Man,4.586454183266931,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
107,India,2.88,5.84,10.0,3.0,7.33,7.12
108,Not classified,4.586454183266931,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
109,Ireland,6.76,4.5037593984962445,1.24,5.136153846153848,1.1099999999999994,2.52
110,"Iran, Islamic Rep.",7.05,3.99,6.81,5.57,2.49,5.33
111,Iraq,5.02,4.5037593984962445,9.73,5.136153846153848,5.160818713450294,3.31
112,Iceland,5.68,4.5037593984962445,1.01,9.16,0.5999999999999996,3.13
113,Israel,7.23,4.5037593984962445,3.49,7.68,1.5500000000000007,2.59
114,Italy,5.59,4.5037593984962445,2.48,7.79,1.8100000000000005,8.33
115,Jamaica,3.65,4.01,2.01,4.93,6.91,5.72
116,Jordan,3.68,4.06,5.81,3.39,5.160818713450294,2.96
117,Japan,8.0,4.5037593984962445,1.77,7.68,5.160818713450294,6.07
118,Kazakhstan,9.65,4.61,1.95,7.74,3.5300000000000002,2.93
119,Kenya,2.17,4.02,4.81,5.136153846153848,5.160818713450294,4.23
120,Kyrgyz Republic,2.95,3.99,4.03,6.07,3.84,2.95
121,Cambodia,2.21,3.99,5.12,5.136153846153848,5.160818713450294,1.92
122,Kiribati,2.32,4.5037593984962445,1.62,5.136153846153848,5.160818713450294,3.49
123,St. Kitts and Nevis,4.55,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,6.52
124,"Korea, Rep.",8.81,4.5037593984962445,4.93,7.49,0.17999999999999972,3.6
125,Kuwait,10.0,4.5037593984962445,9.68,6.77,6.13,1.11
126,Latin America & Caribbean (excluding high income),3.6,8.88,2.93,6.54,4.7,5.73
127,Lao PDR,2.15,3.99,5.11,1.3,7.92,2.58
128,Lebanon,4.6,4.23,5.18,2.92,4.08,3.09
129,Liberia,2.14,3.96,2.08,5.136153846153848,5.160818713450294,2.66
130,Libya,7.65,4.5037593984962445,8.65,5.136153846153848,5.160818713450294,3.48
131,St. Lucia,3.32,3.96,4.03,5.89,8.44,3.8
132,Latin America & Caribbean,3.77,4.5037593984962445,2.86,6.66,4.12,5.81
133,Least developed countries: UN classification,2.17,4.5037593984962445,8.03,0.62,8.83,6.04
134,Low income,2.18,4.47,7.27,0.54,8.870000000000001,7.38
135,Liechtenstein,2.76,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
136,Sri Lanka,2.41,4.13,4.8,7.46,7.92,7.3
137,Lower middle income,2.79,9.19,9.74,2.58,7.58,4.57
138,Low & middle income,4.06,10.0,9.18,3.32,6.91,5.25
139,Lesotho,2.63,3.96,5.53,1.19,8.74,1.2
140,Late-demographic dividend,6.28,4.5037593984962445,8.6,6.61,5.37,4.04
141,Lithuania,4.6,4.5037593984962445,1.71,8.46,0.9800000000000004,5.13
142,Luxembourg,9.9,4.5037593984962445,1.52,7.78,5.160818713450294,1.86
143,Latvia,4.09,4.5037593984962445,2.0,8.93,1.3100000000000005,3.85
144,"Macao SAR, China",3.15,4.5037593984962445,4.7044999999999995,6.46,2.41,4.708760683760684
145,St. Martin (French part),4.586454183266931,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
146,Morocco,2.97,4.13,4.88,5.136153846153848,7.5,6.09
147,Monaco,4.586454183266931,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
148,Moldova,2.77,3.98,2.42,5.89,4.81,4.56
149,Madagascar,2.09,3.97,3.7,5.136153846153848,9.16,4.48
150,Maldives,3.59,3.96,1.39,5.136153846153848,5.160818713450294,3.12
151,Middle East & North Africa,5.72,4.5037593984962445,8.95,4.33,5.67,3.37
152,Mexico,4.41,5.75,4.03,5.87,6.58,6.54
153,Marshall Islands,3.09,4.5037593984962445,1.56,5.136153846153848,5.160818713450294,8.25
154,Middle income,4.33,10.0,9.32,4.04,6.57,4.5
155,North Macedonia,4.27,3.99,5.5,4.76,5.35,0.76
156,Mali,2.06,3.97,5.56,0.58,9.03,6.01
157,Malta,5.43,4.5037593984962445,2.06,6.68,4.36,4.89
158,Myanmar,2.15,4.01,7.7,5.136153846153848,5.160818713450294,3.91
159,Middle East & North Africa (excluding high income),4.36,4.93,8.74,3.81,5.88,4.55
160,Montenegro,4.16,3.97,3.56,5.136153846153848,5.160818713450294,2.02
161,Mongolia,9.3,4.04,7.6,5.136153846153848,1.9600000000000009,2.38
162,Northern Mariana Islands,4.586454183266931,4.5037593984962445,1.44,5.136153846153848,5.160818713450294,4.708760683760684
163,Mozambique,2.1,3.99,3.43,0.29,9.09,4.02
164,Mauritania,2.37,3.97,7.22,0.2,9.1,6.69
165,Mauritius,3.9,4.01,2.11,6.99,5.0,2.23
166,Malawi,2.06,3.96,3.86,0.38,5.160818713450294,3.62
167,Malaysia,7.02,4.5037593984962445,2.45,4.75,5.47,4.51
168,North America,9.73,4.5037593984962445,1.16,7.17,0.35999999999999943,3.36
169,Namibia,2.62,4.5037593984962445,4.39,5.136153846153848,5.160818713450294,1.95
170,New Caledonia,9.73,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
171,Niger,2.08,3.97,9.7,0.06,5.160818713450294,5.85
172,Nigeria,2.31,4.05,8.7,1.55,5.160818713450294,3.54
173,Nicaragua,2.42,4.0,3.28,5.136153846153848,5.160818713450294,7.98
174,Netherlands,8.24,4.5037593984962445,1.72,9.68,5.160818713450294,4.57
175,Norway,8.7,4.5037593984962445,1.05,8.81,0.8000000000000007,4.77
176,Nepal,2.14,3.98,10.0,2.62,8.14,3.02
177,Nauru,4.46,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
178,New Zealand,6.76,4.5037593984962445,0.97,8.96,0.75,3.76
179,OECD members,7.95,4.5037593984962445,2.18,7.85,1.1799999999999997,4.89
180,Oman,9.77,4.5037593984962445,7.38,7.46,6.4399999999999995,2.16
181,Other small states,6.23,4.5037593984962445,5.75,2.54,7.96,5.7
182,Pakistan,2.49,4.21,9.61,0.5,8.74,3.45
183,Panama,3.62,4.5037593984962445,1.77,3.9,5.160818713450294,4.17
184,Peru,3.04,4.23,4.99,7.23,5.160818713450294,4.23
185,Philippines,2.54,4.24,3.14,5.136153846153848,5.99,5.07
186,Palau,8.97,4.5037593984962445,4.7044999999999995,9.07,1.8100000000000005,9.12
187,Papua New Guinea,2.44,4.05,1.85,5.136153846153848,5.160818713450294,4.54
188,Poland,7.01,4.5037593984962445,3.49,8.26,1.0999999999999996,4.67
189,Pre-demographic dividend,2.3,4.5037593984962445,7.46,0.62,8.91,7.13
190,Puerto Rico,4.586454183266931,4.5037593984962445,1.28,4.74,0.40000000000000036,6.21
191,"Korea, Dem. People’s Rep.",2.79,4.5037593984962445,6.61,5.136153846153848,5.160818713450294,4.708760683760684
192,Portugal,4.65,4.5037593984962445,1.25,9.19,1.5999999999999996,5.02
193,Paraguay,2.46,4.03,1.7,5.136153846153848,5.160818713450294,3.85
194,West Bank and Gaza,2.32,4.5037593984962445,5.83,5.02,4.18,1.46
195,Pacific island small states,2.57,4.5037593984962445,1.64,3.65,5.160818713450294,4.47
196,Post-demographic dividend,8.34,4.5037593984962445,1.73,8.11,0.7899999999999991,4.7
197,French Polynesia,3.75,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
198,Qatar,10.0,4.5037593984962445,10.0,4.15,8.6,1.02
199,Romania,4.11,4.5,2.08,6.86,3.8600000000000003,5.18
200,Russian Federation,9.01,6.85,2.49,7.35,0.7100000000000009,6.07
201,Rwanda,2.06,3.97,7.96,0.54,8.95,3.54
202,South Asia,2.74,6.43,9.99,2.44,7.71,4.47
203,Saudi Arabia,9.88,4.5037593984962445,9.99,8.85,3.2199999999999998,1.29
204,Sudan,2.18,4.05,8.49,0.68,8.05,5.54
205,Senegal,2.33,3.98,5.94,0.89,8.76,5.52
206,Singapore,8.24,4.5037593984962445,2.66,5.136153846153848,5.160818713450294,1.82
207,Solomon Islands,2.2,3.96,1.65,5.136153846153848,5.160818713450294,3.39
208,Sierra Leone,2.11,3.96,2.61,0.45,5.160818713450294,3.24
209,El Salvador,2.54,4.02,5.22,4.23,6.720000000000001,4.46
210,San Marino,4.586454183266931,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.67
211,Somalia,2.05,3.97,4.95,5.136153846153848,5.160818713450294,4.708760683760684
212,Serbia,5.95,4.11,4.47,6.76,2.6399999999999997,3.27
213,Sub-Saharan Africa (excluding high income),2.45,5.64,6.76,0.71,8.86,6.38
214,South Sudan,2.09,4.5037593984962445,7.66,5.136153846153848,5.160818713450294,2.98
215,Sub-Saharan Africa,2.45,4.5037593984962445,6.76,0.71,8.86,6.3
216,Small states,6.3,4.5037593984962445,4.98,3.07,7.96,5.12
217,Sao Tome and Principe,2.33,3.96,4.52,2.37,5.160818713450294,4.33
218,Suriname,4.1,4.5037593984962445,4.78,3.76,5.160818713450294,2.79
219,Slovak Republic,5.85,4.5037593984962445,2.77,6.25,2.9000000000000004,6.07
220,Slovenia,6.34,4.5037593984962445,2.45,8.6,0.41000000000000014,3.3
221,Sweden,4.87,4.5037593984962445,0.93,9.62,1.8499999999999996,6.6
222,Eswatini,2.47,3.96,2.58,2.16,9.09,4.12
223,Sint Maarten (Dutch part),9.94,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
224,Seychelles,4.74,4.5037593984962445,3.09,5.33,9.21,2.47
225,Syrian Arab Republic,3.02,3.98,7.53,1.01,5.88,4.64
226,Turks and Caicos Islands,5.76,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
227,Chad,2.05,3.97,9.06,0.13,5.160818713450294,8.94
228,East Asia & Pacific (IDA & IBRD countries),5.67,4.5037593984962445,9.02,5.65,6.390000000000001,4.04
229,Europe & Central Asia (IDA & IBRD countries),6.87,4.5037593984962445,3.9,7.17,1.9299999999999997,4.19
230,Togo,2.21,3.96,4.95,5.136153846153848,8.71,6.1
231,Thailand,4.69,4.56,5.31,4.91,3.5199999999999996,2.91
232,Tajikistan,2.24,3.98,8.68,5.75,7.470000000000001,9.45
233,Turkmenistan,9.02,3.96,3.66,5.136153846153848,5.160818713450294,4.708760683760684
234,Latin America & the Caribbean (IDA & IBRD countries),3.75,4.5037593984962445,2.86,6.67,4.16,5.86
235,Timor-Leste,2.21,3.96,3.29,1.9,5.160818713450294,1.02
236,Middle East & North Africa (IDA & IBRD countries),4.38,4.5037593984962445,8.76,3.78,5.9,4.87
237,Tonga,2.59,3.96,1.59,6.21,5.160818713450294,2.74
238,South Asia (IDA & IBRD),2.74,4.5037593984962445,9.99,2.44,7.71,4.47
239,Sub-Saharan Africa (IDA & IBRD countries),2.45,4.5037593984962445,6.76,0.71,8.86,6.3
240,Trinidad and Tobago,10.0,4.5037593984962445,4.41,5.136153846153848,5.160818713450294,3.31
241,Tunisia,3.44,4.07,6.3,6.16,5.89,8.03
242,Turkey,4.61,5.68,7.56,7.56,0.6300000000000008,4.64
243,Tuvalu,2.55,4.5037593984962445,4.7044999999999995,5.136153846153848,5.160818713450294,4.708760683760684
244,Tanzania,2.14,4.01,4.9,0.25,9.2,5.36
245,Uganda,2.09,3.99,8.44,5.136153846153848,5.160818713450294,3.62
246,Ukraine,5.76,4.6,3.2,7.12,0.5899999999999999,6.94
247,Upper middle income,6.17,10.0,8.37,6.66,5.1,4.43
248,Uruguay,3.26,4.5037593984962445,1.37,8.46,2.2199999999999998,4.95
249,United States,9.75,4.5037593984962445,1.17,7.01,0.3000000000000007,5.28
250,Uzbekistan,4.02,4.0,5.23,6.36,8.91,9.83
251,St. Vincent and the Grenadines,3.07,3.96,3.88,7.84,5.160818713450294,4.43
252,"Venezuela, RB",5.82,4.54,2.98,6.41,5.160818713450294,8.27
253,British Virgin Islands,5.81,4.5037593984962445,4.7044999999999995,7.28,5.160818713450294,4.708760683760684
254,Virgin Islands (U.S.),4.586454183266931,4.5037593984962445,1.57,5.136153846153848,5.160818713450294,4.708760683760684
255,Vietnam,2.89,4.24,6.55,5.136153846153848,7.1899999999999995,4.79
256,Vanuatu,2.24,3.96,1.68,5.136153846153848,5.160818713450294,0.83
257,World,5.09,4.5037593984962445,8.47,3.92,6.04,4.98
258,Samoa,2.56,3.96,1.77,5.136153846153848,5.160818713450294,1.64
259,Kosovo,4.586454183266931,3.97,4.7044999999999995,5.136153846153848,5.160818713450294,1.36
260,"Yemen, Rep.",2.54,3.99,9.05,0.96,5.160818713450294,2.62
261,South Africa,7.43,4.57,4.31,5.136153846153848,7.79,2.91
262,Zambia,2.16,3.99,4.85,5.136153846153848,5.160818713450294,1.4
263,Zimbabwe,2.42,3.99,3.53,0.86,9.06,3.71
